iter	Logloss
0	0.6754334806
1	0.6582657827
2	0.646636346
3	0.6368136637
4	0.6253934386
5	0.6157821869
6	0.6066000918
7	0.5959907709
8	0.586939714
9	0.5775573567
10	0.5705544749
11	0.5609026658
12	0.5535485805
13	0.5479836373
14	0.5434416734
15	0.5379680614
16	0.5335593144
17	0.5292884042
18	0.5222906198
19	0.5176905266
20	0.5134448819
21	0.5090133661
22	0.5040154683
23	0.5006260501
24	0.4983810986
25	0.494084943
26	0.4917212236
27	0.4895242334
28	0.4872271023
29	0.4845285868
30	0.4818540704
31	0.4792442857
32	0.4765062037
33	0.4735284718
34	0.4714200844
35	0.4692545253
36	0.4681287083
37	0.4662507851
38	0.4651201387
39	0.4640980684
40	0.4625566233
41	0.461856694
42	0.4610992498
43	0.4594710788
44	0.4587296737
45	0.4572335539
46	0.4560482979
47	0.4550919429
48	0.4542856862
49	0.4534892063
50	0.4526190072
51	0.4520511137
52	0.4513215401
53	0.4501989172
54	0.4497175662
55	0.4490976089
56	0.4485595369
57	0.4480073678
58	0.4476770279
59	0.446464559
60	0.446071644
61	0.4458167453
62	0.4451306922
63	0.4448643658
64	0.4446399128
65	0.4443330657
66	0.4439813773
67	0.4436871712
68	0.4432697141
69	0.4429300488
70	0.4425681805
71	0.4423593504
72	0.4419772562
73	0.4417977901
74	0.441528485
75	0.4413178521
76	0.4411189466
77	0.4408730433
78	0.4401532024
79	0.4398772942
80	0.4397351019
81	0.439493413
82	0.4392732504
83	0.4388666037
84	0.4385418485
85	0.4380825906
86	0.4377123196
87	0.437524014
88	0.4374155544
89	0.4373204747
90	0.4372363685
91	0.4368223399
92	0.4367111714
93	0.4365995645
94	0.4364231515
95	0.4361716362
96	0.4358837755
97	0.4358255138
98	0.4355227216
99	0.435220325
100	0.4351999009
101	0.4350457789
102	0.4349523732
103	0.4348643562
104	0.4347467844
105	0.4346669989
106	0.4344180061
107	0.4343041914
108	0.4342205519
109	0.434146683
110	0.4338963082
111	0.4337682372
112	0.4335009388
113	0.433239556
114	0.43317077
115	0.4331096475
116	0.4329790777
117	0.4329222726
118	0.4329022937
119	0.4328830455
120	0.4327532318
121	0.4326827905
122	0.4326269695
123	0.4325725019
124	0.4324889798
125	0.4324575493
126	0.4322687573
127	0.432206604
128	0.432012942
129	0.4318003836
130	0.4317036174
131	0.4315786045
132	0.4315459624
133	0.4314206651
134	0.4313528036
135	0.4313128264
136	0.4312729608
137	0.4310703853
138	0.4309853326
139	0.4308977625
140	0.4305715064
141	0.4305227806
142	0.4305121052
143	0.4303805463
144	0.4302925605
145	0.4301439098
