iter	Logloss
146	0.4299886698
147	0.4298460862
148	0.4298421303
149	0.4297002992
150	0.4295634347
151	0.4295080272
152	0.4293673495
153	0.4292268368
154	0.4292225037
155	0.4289984459
156	0.4287750956
157	0.4286275072
158	0.4285469709
159	0.4281576921
160	0.4280820053
161	0.428055532
162	0.4280388714
163	0.4280295952
164	0.4278339915
165	0.4275764563
166	0.4273895218
167	0.427377819
168	0.4273617697
169	0.4273446743
170	0.4271367549
171	0.427099513
172	0.427041145
173	0.4268131562
174	0.4267910056
175	0.4266824807
176	0.4264220002
177	0.4263041771
178	0.4260862789
179	0.4260759967
180	0.4260710777
181	0.426000528
182	0.425884607
183	0.4258711415
184	0.4256358871
185	0.4256331059
186	0.425477455
187	0.4252904276
188	0.4250835666
189	0.4250753622
190	0.424965653
191	0.4248282013
192	0.4248030496
193	0.4247617309
194	0.4246688005
195	0.4245346958
196	0.4244437946
197	0.4243701383
198	0.4243198855
199	0.4243157358
200	0.4241268269
201	0.424057407
202	0.4239546524
203	0.4235628067
204	0.4235627784
205	0.4235354124
206	0.4234137284
207	0.4232066725
208	0.4231825436
209	0.4230388552
210	0.4230044408
211	0.4228514715
212	0.4227362911
213	0.4226760421
214	0.4225516974
215	0.4225125602
216	0.422320222
217	0.4222323804
218	0.4221500194
219	0.4221320063
220	0.4221108914
221	0.4220775404
222	0.4218601316
223	0.4218594509
224	0.4218254617
225	0.4217255393
226	0.4217028968
227	0.421702855
228	0.4216252978
229	0.4216252574
230	0.4216200677
231	0.4215558377
232	0.4214422673
233	0.4213719079
234	0.4213397947
235	0.4212575586
236	0.4211899964
237	0.4210529666
238	0.4209787189
239	0.4204710427
240	0.4203039419
241	0.4202839142
242	0.4200620605
243	0.4199986985
244	0.4199456822
245	0.4198809835
246	0.4196919235
247	0.4196301771
248	0.4196094008
249	0.4195564282
250	0.4193563123
251	0.4191599373
252	0.4191598561
253	0.4189580526
254	0.4189462079
255	0.4188744494
256	0.4188450702
257	0.4188234865
258	0.4186585169
259	0.4183741943
260	0.4182662612
261	0.4181707999
262	0.4180261456
263	0.4178718508
264	0.4177867158
265	0.4177062186
266	0.4176996851
267	0.417613855
268	0.4174292019
269	0.4170091982
270	0.4169628868
271	0.4167938237
272	0.4166909498
273	0.4166864784
274	0.4166698623
275	0.4165350161
276	0.416499809
277	0.4164090817
278	0.4161898166
279	0.4159740456
280	0.4158133883
281	0.4157203601
282	0.4157083158
283	0.4156582217
284	0.4155745909
285	0.4155683919
286	0.4152642401
287	0.4151792144
288	0.4150891771
289	0.4150731429
290	0.414987775
291	0.4149831703
292	0.4149689615
293	0.4147721765
294	0.414614678
295	0.4145317827
296	0.4145250361
297	0.4144930312
298	0.4143894283
299	0.4142970046
300	0.4141585305
301	0.4141549099
302	0.4140024965
303	0.413988079
304	0.4137778029
305	0.413665514
306	0.4134579061
307	0.4133944975
308	0.41328635
309	0.4132861584
310	0.4131219319
311	0.4131078676
312	0.4129311896
313	0.4127819948
314	0.4126682713
315	0.4126452126
316	0.4124087795
317	0.4123208554
318	0.4123137406
319	0.4121319789
320	0.4118649955
321	0.4116334795
322	0.4113652628
323	0.4113651507
324	0.4113597859
325	0.4113592408
326	0.4112792764
327	0.4112310659
328	0.4111801489
329	0.4110533869
330	0.4108050899
331	0.4106651156
332	0.4105234588
333	0.4102080129
334	0.4100636755
335	0.4099014846
336	0.4098737749
337	0.4097010914
338	0.4094917717
339	0.4094706434
340	0.4090080265
341	0.408882761
342	0.4087463824
343	0.4084830645
344	0.4082426415
345	0.4081697379
346	0.4079278288
347	0.4077578626
348	0.4075628046
349	0.4075614235
350	0.4072325241
351	0.4071348872
352	0.4070622091
353	0.4068354643
354	0.4066214165
355	0.4063854561
356	0.4062905563
357	0.4059929225
358	0.4058004679
359	0.4054624177
360	0.4052926499
361	0.405051175
362	0.4047989767
363	0.4045286959
364	0.4043988194
365	0.4042789516
366	0.4041963079
367	0.4040145544
368	0.4038985675
369	0.403776636
370	0.4035184869
371	0.4033183364
372	0.4031846079
373	0.403031052
374	0.4029651279
375	0.4027706298
376	0.4025556619
377	0.4023513567
378	0.4021595056
379	0.4020352559
380	0.4018222367
381	0.4017134293
382	0.4014574153
383	0.4012431568
384	0.4010192031
385	0.4006232304
386	0.400429741
387	0.4003023479
388	0.4000117931
389	0.3999052839
390	0.3997613124
391	0.3994268611
392	0.3991823806
393	0.3989211225
394	0.3987143719
395	0.3985172216
396	0.3984267614
397	0.39817928
398	0.3979634899
399	0.3977710763
400	0.3976596658
401	0.3973855517
402	0.3972821229
403	0.3971389595
404	0.3969688359
405	0.396675581
406	0.3965978729
407	0.39623825
408	0.3960181558
409	0.3957369696
410	0.3955609796
411	0.3951467686
412	0.3949439575
413	0.3948388987
414	0.3946715058
415	0.394408895
416	0.3940615735
417	0.3937789891
418	0.3937202934
419	0.393477654
420	0.3933175449
421	0.393125575
422	0.3929609247
423	0.3928544483
424	0.3926641803
425	0.3925792646
426	0.3924386726
427	0.3923178244
428	0.392086591
429	0.3918902697
430	0.3915184298
431	0.3913072738
432	0.3910843365
433	0.3907546886
434	0.3904324627
435	0.3901483592
436	0.3897263005
437	0.3896194914
438	0.3891681099
439	0.3889558509
440	0.388852052
441	0.388759001
442	0.3884864714
443	0.3880577145
444	0.3877766173
445	0.3876977665
446	0.3875971506
447	0.3875380748
448	0.3873671697
449	0.3872929444
450	0.3872044335
451	0.3870889053
452	0.3867851883
453	0.3866673047
454	0.3865165853
455	0.3862908844
456	0.3860799622
457	0.3859901978
458	0.3858895726
459	0.3855316526
460	0.3853563485
461	0.3850799124
462	0.3848229189
463	0.3844071019
464	0.3843779511
465	0.3842144599
466	0.3841230126
467	0.383919712
468	0.3837133958
469	0.3834689968
470	0.3832986094
471	0.3831302651
472	0.3829407687
473	0.3827809814
474	0.3826118581
475	0.3825151025
476	0.3821720405
477	0.382045336
478	0.3817276799
479	0.381540594
480	0.3813388261
481	0.3810851039
482	0.3807751945
483	0.3806353588
484	0.380402534
485	0.380210644
486	0.3799789177
487	0.379727665
488	0.3795162133
489	0.3793781304
490	0.3790526793
491	0.378841559
492	0.3787031866
493	0.3784530579
494	0.3782550292
495	0.3780460633
496	0.3779361308
497	0.377800087
498	0.377633526
499	0.3773029066
