iter	RMSE
193	0.4195127643
194	0.4193598492
195	0.4192085215
196	0.4190896353
197	0.4189248009
198	0.4187973599
199	0.4186161227
200	0.4184595603
201	0.4182872548
202	0.4181798434
203	0.4180128423
204	0.4178466706
205	0.4177302121
206	0.4176071531
207	0.4174675542
208	0.417372938
209	0.4172590383
210	0.4170788392
211	0.4169150778
212	0.4167976183
213	0.4166834948
214	0.416552746
215	0.4164062073
216	0.4162851444
217	0.4161830354
218	0.4160606909
219	0.4159492384
220	0.4158174448
221	0.4156807653
222	0.4155605404
223	0.4154321828
224	0.415321314
225	0.4152073463
226	0.4151111509
227	0.4150361018
228	0.4149712274
229	0.4148791379
230	0.4147560979
231	0.4146511153
232	0.4145632251
233	0.4144868455
234	0.4143765973
235	0.4142773619
236	0.4141950773
237	0.4141324134
238	0.4140587558
239	0.413960786
240	0.4138703846
241	0.4137511639
242	0.4136404783
243	0.4135500603
244	0.413489294
245	0.4134200491
246	0.4133612451
247	0.4132621842
248	0.4132082771
249	0.4131190548
250	0.4130285413
251	0.4129568124
252	0.4128975181
253	0.4128358197
254	0.4127370953
255	0.4126532105
256	0.4125544782
257	0.4124663739
258	0.412374233
259	0.4123122669
260	0.4122370041
261	0.4121324507
262	0.4120687914
263	0.4119883821
264	0.4119226882
265	0.4118428067
266	0.4117934644
267	0.4117319795
268	0.4116543782
269	0.411598132
270	0.4115287127
271	0.4114501849
272	0.4113728293
273	0.4112982322
274	0.411241977
275	0.4111757696
276	0.4111137088
277	0.4110349457
278	0.4109669049
279	0.4109220718
280	0.4108511768
281	0.4107808602
282	0.4107260245
283	0.4106587883
284	0.4106043872
285	0.4105358131
286	0.4104959645
287	0.4104215478
288	0.4103744101
289	0.4103095643
290	0.4102765687
291	0.4102359477
292	0.4101573888
293	0.4101000379
294	0.4100123575
295	0.4099657267
296	0.4099088559
297	0.4098505003
298	0.4097613949
299	0.4097118176
300	0.4096310684
301	0.409582734
302	0.4095367383
303	0.4094636554
304	0.4094119364
305	0.4093453545
306	0.4092653086
307	0.409221064
308	0.4091828284
309	0.4091116799
310	0.4090321717
311	0.4089753823
312	0.4089273267
313	0.408883164
314	0.4088038721
315	0.4087331934
316	0.4086769028
317	0.4086161251
318	0.4085537382
319	0.4084872383
320	0.408418643
321	0.4083709366
322	0.4083145027
323	0.4082418094
324	0.4081965582
325	0.4081585027
326	0.4080933618
327	0.4080536343
328	0.4080209197
329	0.407956813
330	0.4078987612
331	0.4078243189
332	0.4077777157
333	0.4077436834
334	0.4076867262
335	0.4076228887
336	0.4075615135
337	0.4075005023
338	0.4074266272
339	0.4073647209
340	0.4073172978
341	0.4072721495
342	0.4072173307
343	0.4071701723
344	0.4070987145
345	0.4070776356
346	0.40702008
347	0.4069888617
348	0.4069420282
349	0.4068858367
350	0.406825303
351	0.4067720694
352	0.4067332897
353	0.4067121422
354	0.4066690586
355	0.4066200316
356	0.4065691246
357	0.4065002863
358	0.4064514277
359	0.4064142053
360	0.406370458
361	0.4063418858
362	0.4063028428
363	0.4062647816
364	0.4062259543
365	0.406180645
366	0.4061256102
367	0.406092338
368	0.4060304042
369	0.4059923028
370	0.4059473645
371	0.4059093409
372	0.4058784356
373	0.4058398225
374	0.4058028783
375	0.4057678859
376	0.4057157118
377	0.4056768256
378	0.4056378061
379	0.4055831723
380	0.4055482793
381	0.405504867
382	0.4054766773
383	0.4054376652
384	0.4053820577
385	0.4053503326
386	0.4053063595
387	0.4052477677
388	0.4052016349
389	0.4051584905
390	0.4051211525
391	0.4050631214
392	0.4050209681
393	0.4049778131
394	0.4049573493
395	0.4049147364
396	0.4048710123
397	0.4048252004
398	0.4047825235
399	0.4047240459
400	0.4046737901
401	0.4046148793
402	0.4045771357
403	0.4045192309
404	0.4044751183
405	0.4044408375
406	0.4043842036
407	0.4043245992
408	0.4043016499
409	0.4042655246
410	0.4042396805
411	0.4042003623
412	0.404151746
413	0.4041253333
414	0.4040967524
415	0.4040447605
416	0.4039993186
417	0.403951734
418	0.403912926
419	0.403882873
420	0.4038302092
421	0.4038022725
422	0.4037633036
423	0.4037088133
424	0.4036795622
425	0.403628978
426	0.4035812758
427	0.4035121583
428	0.4034697069
429	0.403425453
430	0.4033735095
431	0.4033374323
432	0.403306755
433	0.4032853203
434	0.4032395865
435	0.4031866429
436	0.4031412896
437	0.4031003286
438	0.4030676587
439	0.4030381298
440	0.4030040258
441	0.4029802239
442	0.4029394179
443	0.4028893866
444	0.4028494858
445	0.4028229416
446	0.402797392
447	0.4027657898
448	0.4027336458
449	0.402702659
450	0.4026723068
451	0.4026325676
452	0.4026017535
453	0.4025647502
454	0.4025426516
455	0.4025145672
456	0.4024759521
457	0.4024415062
458	0.4023961625
459	0.4023556119
460	0.4023048609
461	0.4022684954
462	0.4022332169
463	0.402195578
464	0.4021497608
465	0.4021218526
466	0.4020867106
467	0.4020446589
468	0.4020053727
469	0.4019589533
470	0.401919341
471	0.4018889243
472	0.401814814
473	0.4017760432
474	0.4017416231
475	0.4017130823
476	0.4016669657
477	0.4016310176
478	0.401602885
479	0.4015598038
480	0.4015230674
481	0.4014896028
482	0.4014406715
483	0.4014076653
484	0.4013728292
485	0.4013374106
486	0.4012984204
487	0.4012674873
488	0.4012388095
489	0.4012102735
490	0.4011770574
491	0.4011299289
492	0.4010941423
493	0.4010529791
494	0.4010208519
495	0.4009937545
496	0.4009645212
497	0.4009183176
498	0.4008872202
499	0.4008608033
500	0.4008166538
501	0.4007755766
502	0.4007460779
503	0.4007157837
504	0.4007012469
505	0.4006668318
506	0.4006354278
507	0.4005987516
508	0.4005720988
509	0.4005389557
510	0.400522763
511	0.4005047184
512	0.4004748623
513	0.40043729
514	0.4004048193
515	0.4003582528
516	0.4003345096
517	0.4003085542
518	0.4002755284
519	0.4002397285
520	0.4002095624
521	0.4001698166
522	0.4001257434
523	0.4000968683
524	0.4000643906
525	0.400027718
526	0.4000000039
527	0.3999672434
528	0.399944722
529	0.3999042027
530	0.39986874
531	0.3998222294
532	0.3997986218
533	0.3997752781
534	0.3997502655
535	0.3997135029
536	0.3996906044
537	0.3996554311
538	0.399625682
539	0.3995784349
540	0.3995463505
541	0.3995085837
542	0.3994844559
543	0.3994524682
544	0.3994250916
545	0.3993973269
546	0.3993795739
547	0.3993617797
548	0.3993352453
549	0.3993075343
550	0.3992770415
551	0.3992398596
552	0.399202525
553	0.3991744622
554	0.3991542725
555	0.3991346132
556	0.3991097249
557	0.3990804183
558	0.3990620604
559	0.3990301322
560	0.3990006262
561	0.3989695542
562	0.3989335566
563	0.3989188211
564	0.3988897195
565	0.3988718086
566	0.3988588316
567	0.3988195708
568	0.3987939228
569	0.3987699785
570	0.3987501274
571	0.3987348143
572	0.3987079358
573	0.3986915626
574	0.3986651919
575	0.3986413737
576	0.3986043868
577	0.3985726783
578	0.3985475579
579	0.3985227035
580	0.3984964772
581	0.398470034
582	0.3984404274
583	0.3984097964
584	0.398385481
585	0.3983480491
586	0.3983169154
587	0.3982953878
588	0.3982657392
589	0.3982371204
590	0.3982047127
591	0.3981886051
592	0.3981562135
593	0.3981039215
594	0.3980816295
595	0.3980472074
596	0.3980146291
597	0.397979714
598	0.3979613941
599	0.3979398595
600	0.3979041146
601	0.3978832393
602	0.3978509188
603	0.3978240462
604	0.3977768742
605	0.3977426756
606	0.3977148291
607	0.397699241
608	0.3976645938
609	0.3976419092
610	0.3976248746
611	0.3976017732
612	0.3975759824
613	0.3975345154
614	0.3975100176
615	0.3974883494
616	0.3974715859
617	0.3974492222
618	0.3974325017
619	0.3974049327
620	0.3973837747
621	0.3973568244
622	0.3973417194
623	0.397326963
624	0.3972996294
625	0.3972711718
626	0.3972407204
627	0.3972110832
628	0.3971892165
629	0.3971672789
630	0.3971445563
631	0.3971028008
632	0.3970765615
633	0.3970445623
634	0.397023685
635	0.3969831878
636	0.3969547499
637	0.3969220194
638	0.3968861019
639	0.3968685205
640	0.3968435542
641	0.3968298234
642	0.3968074697
643	0.3967672822
644	0.3967229225
645	0.3966917692
646	0.3966656806
647	0.3966429228
648	0.3966173358
649	0.3965904922
650	0.3965685733
651	0.3965517995
652	0.3965354013
653	0.396512486
654	0.3964882119
655	0.3964517225
656	0.3964245394
657	0.3963935848
658	0.3963697261
659	0.396341541
660	0.3963258859
661	0.3963063709
662	0.3962796556
663	0.3962581712
664	0.3962219503
665	0.3961988386
666	0.3961581212
667	0.3961457131
668	0.3961238426
669	0.3961088363
670	0.3960776504
671	0.3960601093
672	0.3960435562
673	0.3960203978
674	0.396005145
675	0.395988425
676	0.3959776422
677	0.3959538129
678	0.3959399466
679	0.3959187897
680	0.3959037124
681	0.3958785547
682	0.3958646473
683	0.3958460668
684	0.3958206728
685	0.395803419
686	0.3957845307
687	0.3957586867
688	0.3957448046
689	0.3957288939
690	0.3956954355
691	0.3956795864
692	0.3956561262
693	0.3956232661
694	0.3955954603
695	0.3955749026
696	0.3955331899
697	0.3955130771
698	0.3954937294
699	0.3954616769
700	0.3954292049
701	0.3953982078
702	0.3953783216
703	0.3953653377
704	0.3953472058
705	0.3953338743
706	0.3953112287
707	0.3952948438
708	0.395281263
709	0.3952613911
710	0.3952397457
711	0.3952088157
712	0.3951940027
713	0.3951739873
714	0.3951549702
715	0.3951247102
716	0.3951092142
717	0.3950726334
718	0.3950467118
719	0.3950326342
720	0.3950121606
721	0.3949881602
722	0.3949674863
723	0.3949450219
724	0.3949267478
725	0.3949042121
726	0.3948691808
727	0.3948501066
728	0.3948229933
729	0.3948111404
730	0.3947933826
731	0.3947777068
732	0.3947605299
733	0.3947352472
734	0.3947212524
735	0.3946928105
736	0.3946773127
737	0.3946596007
738	0.3946349043
739	0.3946005876
740	0.3945800572
741	0.3945546718
742	0.3945440502
743	0.3945204904
744	0.3945060843
745	0.3944802758
746	0.3944667002
747	0.3944409258
748	0.3944276981
749	0.3944026891
750	0.3943826359
751	0.3943626339
752	0.3943376257
753	0.3943130221
754	0.3942913797
755	0.3942689236
756	0.3942461846
757	0.394220521
758	0.3941930595
759	0.39417382
760	0.3941622455
761	0.3941510715
762	0.3941395978
763	0.3941216251
764	0.3941147985
765	0.3940998645
766	0.394088595
767	0.3940742416
768	0.3940580328
769	0.3940306653
770	0.3940058265
771	0.3939952353
772	0.3939657564
773	0.3939315813
774	0.3939099826
775	0.3938805674
776	0.3938589335
777	0.3938503546
778	0.3938371091
779	0.3938238159
780	0.393804074
781	0.3937859964
782	0.3937493951
783	0.3937379091
784	0.3937214619
785	0.3936917704
786	0.3936759613
787	0.3936586338
788	0.3936251848
789	0.3936072479
790	0.3935848263
791	0.3935671562
792	0.3935487166
793	0.3935311983
794	0.3935102326
795	0.3934976435
796	0.3934896398
797	0.3934722792
798	0.393457624
799	0.3934354961
800	0.3934119701
801	0.3933883944
802	0.3933583789
803	0.3933473682
804	0.3933360236
805	0.393321433
806	0.3933057206
807	0.3932960482
808	0.3932752161
809	0.393262599
810	0.393238164
811	0.3932084604
812	0.3931882701
813	0.3931651147
814	0.3931500961
815	0.3931328623
816	0.3931191322
817	0.393103931
818	0.3930817716
819	0.3930681969
820	0.3930570216
821	0.3930198464
822	0.3930065052
823	0.3929860624
824	0.3929662024
825	0.3929405142
826	0.3929283066
827	0.3928926026
828	0.3928787159
829	0.3928585797
830	0.3928487637
831	0.3928318194
832	0.3928211911
833	0.3928049715
834	0.3927941715
835	0.3927842676
836	0.3927719959
837	0.3927488867
838	0.3927301014
839	0.3927058923
840	0.3926834242
841	0.3926715615
842	0.3926466448
843	0.3926364465
844	0.3926201545
845	0.3926041217
846	0.3925939341
847	0.3925667844
848	0.3925559281
849	0.3925345581
850	0.3925161613
851	0.392497182
852	0.3924862462
853	0.3924680416
854	0.3924542745
855	0.3924347754
856	0.392419154
857	0.3924107257
858	0.3923933622
859	0.3923729811
860	0.3923514184
861	0.3923328549
862	0.3923184285
863	0.3923028353
864	0.3922844007
865	0.3922694063
866	0.3922586906
867	0.3922497584
868	0.3922301134
869	0.3922112599
870	0.3921910378
871	0.3921797486
872	0.3921513776
873	0.3921398772
874	0.3921224024
875	0.3920995272
876	0.3920719604
877	0.3920352299
878	0.3920233744
879	0.3920044812
880	0.3919990398
881	0.3919768727
882	0.3919654918
883	0.3919534726
884	0.3919438896
885	0.391928181
886	0.3919153118
887	0.3919048143
888	0.3918838437
889	0.3918688282
890	0.391850733
891	0.3918351277
892	0.3918146857
893	0.3917936074
894	0.3917787698
895	0.3917642243
896	0.3917403701
897	0.3917124562
898	0.3916930766
899	0.3916694632
900	0.3916481988
901	0.3916360156
902	0.3916057995
903	0.3915877036
904	0.3915721023
905	0.3915584063
906	0.3915397172
907	0.3915277565
908	0.3915109656
909	0.3914947239
910	0.3914763179
911	0.3914514024
912	0.3914341071
913	0.391419918
914	0.3914018273
915	0.3913829023
916	0.3913686759
917	0.3913607324
918	0.3913385525
919	0.3913268574
920	0.3913127026
921	0.3913031558
922	0.3912785059
923	0.3912664038
924	0.3912473916
925	0.3912263772
926	0.3912151521
927	0.3911978945
928	0.3911843803
929	0.3911628836
930	0.3911514773
931	0.3911474363
932	0.3911327291
933	0.3911146369
934	0.3910973361
935	0.391069263
936	0.3910397278
937	0.3910201833
938	0.3909945921
939	0.3909854542
940	0.3909702453
941	0.3909556588
942	0.3909425664
943	0.3909201697
944	0.3909108231
945	0.3908978912
946	0.3908867427
947	0.3908757701
948	0.3908632949
949	0.3908482407
950	0.3908375823
951	0.3908082888
952	0.3907901385
953	0.3907783347
954	0.3907709999
955	0.3907563794
956	0.3907431855
957	0.3907343778
958	0.3907178903
959	0.3906920006
960	0.3906800341
961	0.390658454
962	0.3906433864
963	0.3906345345
964	0.3906101956
965	0.3905922001
966	0.390570017
967	0.3905530683
968	0.3905325284
969	0.390517292
970	0.3904951496
971	0.3904787569
972	0.3904628718
973	0.3904557014
974	0.3904369484
975	0.3904133465
976	0.3903847031
977	0.3903621299
978	0.3903429637
979	0.3903189142
980	0.3903103645
981	0.3902937314
982	0.3902832952
983	0.3902581356
984	0.3902336238
985	0.3902208467
986	0.3902123114
987	0.3901947644
988	0.3901764078
989	0.3901653594
990	0.3901463625
991	0.3901278682
992	0.3901069531
993	0.3900913633
994	0.3900779201
995	0.390061717
996	0.390035194
997	0.3900214452
998	0.3900088161
999	0.3899928812
